STATE,DISTRICT_NAME,REGION_TYPE,AC_NO
Karnataka,Chikkaballapura,Urban,141
Karnataka,Chikkaballapura,Urban,143
Rajasthan,Bundi,Urban,186
Uttar Pradesh,Basti,Urban,310
Uttar Pradesh,Ballia,Urban,361
Uttar Pradesh,Ghazipur,Urban,375
